"","split_1_rmsse","split_2_rmsse","split_3_rmsse","split_1_spl","split_2_spl","split_3_spl","average_RMSSE","average_SPL"
"hobbies_ca_1",0.7339,1.037,0.5944,0.180855555555556,0.289488888888889,0.138922222222222,0.788433333333333,0.203088888888889
"household_1_ca_1",1.2516,0.8163,1.0154,0.424922222222222,0.231944444444444,0.306622222222222,1.02776666666667,0.321162962962963
"household_2_ca_1",1.2234,0.4073,1.1266,0.378655555555556,0.0974222222222222,0.335877777777778,0.9191,0.270651851851852
"foods_1_ca_1",1.1771,0.3138,0.3528,0.338066666666667,0.0942444444444445,0.0983666666666667,0.614566666666667,0.176892592592593
"foods_2_ca_1",0.542,0.4175,0.534,0.133277777777778,0.106122222222222,0.132488888888889,0.497833333333333,0.123962962962963
"foods_3_ca_1",0.4984,0.1108,0.4833,0.1186,0.0669777777777778,0.115555555555556,0.364166666666667,0.100377777777778
"hobbies_ca_2",1.2613,0.0466,1.0802,0.3867,0.0738555555555556,0.311188888888889,0.796033333333333,0.257248148148148
"household_1_ca_2",1.5213,0.5228,1.2269,0.639477777777778,0.132133333333333,0.436822222222222,1.09033333333333,0.402811111111111
"household_2_ca_2",2.4592,0.3764,1.2256,1.25191111111111,0.0916,0.426933333333333,1.35373333333333,0.590148148148148
"foods_1_ca_2",4.2063,0.727,0.4283,2.72317777777778,0.175966666666667,0.107311111111111,1.7872,1.00215185185185
"foods_2_ca_2",1.0775,0.3094,0.3932,0.326722222222222,0.0999111111111111,0.107088888888889,0.593366666666667,0.177907407407407
"foods_3_ca_2",1.83,1.0378,0.9397,0.831833333333333,0.321733333333333,0.284533333333333,1.26916666666667,0.479366666666667
"hobbies_ca_3",0.3137,1.2217,1.1188,0.100711111111111,0.348733333333333,0.312033333333333,0.884733333333333,0.253825925925926
"household_1_ca_3",0.902,0.5562,0.9203,0.252566666666667,0.132233333333333,0.256455555555556,0.792833333333333,0.213751851851852
"household_2_ca_3",0.7875,0.1905,0.4076,0.202477777777778,0.0848,0.100755555555556,0.461866666666667,0.129344444444444
"foods_1_ca_3",1.0021,0.3056,0.1918,0.2804,0.0947666666666667,0.0868666666666667,0.499833333333333,0.154011111111111
"foods_2_ca_3",0.0917,0.2239,0.1879,0.100166666666667,0.111588888888889,0.109555555555556,0.167833333333333,0.107103703703704
"foods_3_ca_3",0.0868,0.2029,0.0391,0.0778222222222222,0.0860888888888889,0.0741111111111111,0.1096,0.0793407407407407
